Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
i00152;;;;;;;;;no;Externe Justierung Klimatisierungssystem 7;MODBUS_INPUT_REGISTER;152;1;;u8;0;0;0
i00153;;;;;;;;;no;Externe Justierung Klimatisierungssystem 6;MODBUS_INPUT_REGISTER;153;1;;u8;0;0;0
i00154;;;;;;;;;no;Externe Justierung Klimatisierungssystem 5;MODBUS_INPUT_REGISTER;154;1;;u8;0;0;0
i00156;;;;;;;;;no;Klimatisierungssystem 8;MODBUS_INPUT_REGISTER;156;1;;u8;0;0;0
i00157;;;;;;;;;no;Klimatisierungssystem 7;MODBUS_INPUT_REGISTER;157;1;;u8;0;0;0
i00158;;;;;;;;;no;Klimatisierungssystem 6;MODBUS_INPUT_REGISTER;158;1;;u8;0;0;0
i00159;;;;;;;;;no;Klimatisierungssystem 5;MODBUS_INPUT_REGISTER;159;1;;u8;0;0;0
i00174;;;;;;;;;no;Brauchwasserkomfort Rücklauf (BT82);MODBUS_INPUT_REGISTER;174;10;°C;s16;0;0;0
i00175;;;;;;;;;no;Brauchwasserkomfort Speicher (BT83);MODBUS_INPUT_REGISTER;175;10;°C;s16;0;0;0
i00269;;;;;;;;;no;Verdichter Gesamtzeit Pool, Wärmepumpe 1 (EP14);MODBUS_INPUT_REGISTER;269;1;h;u32;0;2147483647;0
i00271;;;;;;;;;no;Verdichter Gesamtzeit Pool 2, Wärmepumpe 1 (EP14);MODBUS_INPUT_REGISTER;271;1;h;u32;0;2147483647;0
i00279;;;;;;;;;no;Verdichter Gesamtzeit Kühlung, Haupteinheit (EP14);MODBUS_INPUT_REGISTER;279;1;h;u32;0;2147483647;0
i00281;;;;;;;;;no;Verdichter Gesamtzeit Pool, Haupteinheit (EP14);MODBUS_INPUT_REGISTER;281;1;h;u32;0;2147483647;0
i00283;;;;;;;;;no;Verdichter Gesamtzeit Pool 2, Haupteinheit (EP14);MODBUS_INPUT_REGISTER;283;1;h;u32;0;2147483647;0
i00301;;;;VVM;WP;;;;yes;Wärmepumpe 1 angeforderte Verdichterfrequenz;MODBUS_INPUT_REGISTER;301;1;Hz;u8;0;0;0
i00302;;;;;;;;;no;Haupteinheit angeforderte Verdichterfrequenz;MODBUS_INPUT_REGISTER;302;1;Hz;u8;0;0;0
i00310;;;;;;;;;?;Frostschutz Wärmeübertrager Haupteinheit;MODBUS_INPUT_REGISTER;310;1;;u8;0;0;0
